step,experiment_name,stage,seed,cell_type,hidden,layers,dropout,lr,wd,traj_loss,lambda_risk,meal_c_max,best_epoch,val_rmse,val_mae,hypo_1h_auprc,hypo_2h_auprc,hypo_4h_auprc,hyper_2h_auprc,hyper_4h_auprc,hypo_4h_sensitivity,hypo_4h_specificity,clarke_ab_pct,train_time_sec,device
1,gru_base_h64,repro,42,gru,64,1,0.2,0.001,0.0001,huber,5.0,200.0,8,34.2911,23.9659,0.9036,0.8386,0.7375,0.8841,0.8769,0.6444,0.9766,95.67,9.7,cuda
2,lstm_base_h64,repro,42,lstm,64,1,0.2,0.001,0.0001,huber,5.0,200.0,8,35.3829,24.7335,0.8839,0.8032,0.6965,0.8855,0.8674,0.6255,0.9666,94.75,7.6,cuda
3,gru_h128_l1_d0.2,repro,42,gru,128,1,0.2,0.001,0.0001,huber,5.0,200.0,8,33.7112,23.6416,0.9112,0.8542,0.7877,0.9035,0.8861,0.6548,0.9842,95.1,10.0,cuda
1,gru_base_h64,repro,42,gru,64,1,0.2,0.001,0.0001,huber,5.0,200.0,8,34.2911,23.9659,0.9036,0.8386,0.7375,0.8841,0.8769,0.6444,0.9766,95.67,13.9,cuda
2,lstm_base_h64,repro,42,lstm,64,1,0.2,0.001,0.0001,huber,5.0,200.0,8,35.3829,24.7335,0.8839,0.8032,0.6965,0.8855,0.8674,0.6255,0.9666,94.75,8.7,cuda
3,gru_h128_l1_d0.2,repro,42,gru,128,1,0.2,0.001,0.0001,huber,5.0,200.0,8,33.7112,23.6416,0.9112,0.8542,0.7877,0.9035,0.8861,0.6548,0.9842,95.1,8.8,cuda
4,stage3_lr2e3_wd1e4,repro,42,gru,128,1,0.2,0.002,0.0001,huber,5.0,200.0,7,31.0107,21.5395,0.929,0.8839,0.8243,0.9037,0.8925,0.6715,0.9873,95.45,8.9,cuda
5,S3_lr_0.001_wd_0.0001,stage3,42,gru,128,1,0.2,0.001,0.0001,huber,5.0,200.0,10,33.1101,23.0736,0.9259,0.8761,0.8341,0.908,0.8907,0.7301,0.9766,94.94,11.1,cuda
6,S3_lr_0.0005_wd_0.0001,stage3,42,gru,128,1,0.2,0.0005,0.0001,huber,5.0,200.0,10,34.0677,24.0982,0.9177,0.8561,0.7708,0.8919,0.8784,0.6569,0.9805,94.77,12.2,cuda
7,S3_lr_0.001_wd_1e-05,stage3,42,gru,128,1,0.2,0.001,1e-05,huber,5.0,200.0,10,33.009,23.0379,0.927,0.8766,0.8308,0.909,0.8913,0.728,0.9766,94.74,12.2,cuda
8,S4_huber_lrisk_5.0,stage4,42,gru,128,1,0.2,0.002,0.0001,huber,5.0,200.0,7,31.0107,21.5395,0.929,0.8839,0.8243,0.9037,0.8925,0.6715,0.9873,95.45,14.1,cuda
9,S4_mae_lrisk_5.0,stage4,42,gru,128,1,0.2,0.002,0.0001,mae,5.0,200.0,9,31.6359,21.6402,0.9331,0.8818,0.8282,0.9052,0.8892,0.6757,0.9856,95.1,17.7,cuda
10,S4_mse_lrisk_5.0,stage4,42,gru,128,1,0.2,0.002,0.0001,mse,5.0,200.0,10,32.2008,22.7275,0.7443,0.6994,0.6245,0.8891,0.8761,0.5544,0.9501,93.89,14.4,cuda
11,S4_huber_lrisk_2.0,stage4,42,gru,128,1,0.2,0.002,0.0001,huber,2.0,200.0,7,31.3092,21.6547,0.8925,0.8637,0.805,0.8997,0.8871,0.7301,0.9735,95.34,14.5,cuda
12,S4_huber_lrisk_10.0,stage4,42,gru,128,1,0.2,0.002,0.0001,huber,10.0,200.0,7,31.3328,21.7484,0.9383,0.8847,0.8311,0.9069,0.8948,0.7657,0.9666,95.26,15.5,cuda
13,MultiSeed_s42,stability,42,gru,128,1,0.2,0.002,0.0001,huber,5.0,200.0,7,31.0107,21.5395,0.929,0.8839,0.8243,0.9037,0.8925,0.6715,0.9873,95.45,20.7,cuda
14,MultiSeed_s123,stability,123,gru,128,1,0.2,0.002,0.0001,huber,5.0,200.0,8,31.6096,22.15,0.9406,0.8843,0.8258,0.9025,0.8928,0.751,0.9652,95.19,21.3,cuda
15,MultiSeed_s7,stability,7,gru,128,1,0.2,0.002,0.0001,huber,5.0,200.0,8,31.6455,21.9225,0.9359,0.8888,0.8342,0.9038,0.8954,0.772,0.9576,95.66,18.9,cuda
